Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,165,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,798,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,2028,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,5755,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,13903,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,23000,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,26638,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,26694,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,3,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,98984,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,33,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,85,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,189,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,548,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,2111,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,4913,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,6527,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,5872,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,20279,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,80,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,317,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,840,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,2373,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,5195,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,7677,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,6991,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,5240,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,2,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,28715,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory failure,J96,0-24,146,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory failure,J96,25-34,573,
11/15/2020,02/01/2020,11/14/2020,US,Respiratory diseases,Respiratory failure,J96,35-44,1467,
