State,Abbreviation,Party of Govoner
Alabama,AL,Republican
Alaska,AK,Republican
Arizona,AZ,Republican
Arkansas,AR,Republican
California,CA,Democrat
Colorado,CO,Democrat
Connecticut,CT,Democrat
Delaware,DE,Democrat
District of Columbia,DC,Democrat
Florida,FL,Republican
Georgia,GA,Republican
Hawaii,HI,Democrat
Idaho,ID,Republican
Illinois,IL,Democrat
Indiana,IN,Republican
Iowa,IA,Republican
Kansas,KS,Democrat
Kentucky,KY,Democrat
Louisiana,LA,Democrat
Maine,ME,Democrat
Maryland,MD,Republican
Massachusetts,MA,Republican
Michigan,MI,Democrat
Minnesota,MN,Democrat
Mississippi,MS,Republican
Missouri,MO,Republican
Montana,MT,Democrat
Nebraska,NE,Republican
Nevada,NV,Democrat
New Hampshire,NH,Republican
New Jersey,NJ,Democrat
New Mexico,NM,Democrat
New York,NY,Democrat
North Carolina,NC,Democrat
North Dakota,ND,Republican
Ohio,OH,Republican
Oklahoma,OK,Republican
Oregon,OR,Democrat
Pennsylvania,PA,Democrat
Rhode Island,RI,Democrat
South Carolina,SC,Republican
South Dakota,SD,Republican
Tennessee,TN,Republican
Texas,TX,Republican
Utah,UT,Republican
Vermont,VT,Republican
Virginia,VA,Democrat
Washington,WA,Democrat
West Virginia,WV,Republican
Wisconsin,WI,Democrat
Wyoming,WY,Republican
Puerto Rico,PR,New Progressive/Republican
American Samoa,AS,Democrat
Guam,GU,Democrat
Northern Mariana Islands,MP,Republican
U.S. Virgin Islands,VI,Democrat
